# IDX LQ45 sample — Yahoo Finance uses .JK suffix for Indonesian stocks
BBCA.JK
BBRI.JK
BMRI.JK
TLKM.JK
ASII.JK
BBNI.JK
UNVR.JK
ICBP.JK
KLBF.JK
GOTO.JK
